### Generated using RobotDashboard (v5.0.0 4-18) ###
### On Tuesday 15:13:51 @ 03/03/2020
### By ouss

[24]
#[Scene 24]#
#autostart=true
#safereturn=false
# *** ROBOT 2 ****
2;driveBezier;5825;550;5800;350;16;0
2;driveBezier;5375;625;5600;600;16;0
2;driveBezier;4775;675;5075;650;16;0
2;driveBezier;4725;1025;4750;850;16;0
2;driveBezier;4450;1025;4575;1025;16;0
2;driveBezier;4400;825;4425;925;16;0
2;driveBezier;4200;825;4300;825;16;0
2;driveBezier;4100;1000;4150;925;16;0
2;turn;4100;1000;-30;50;10
2;turn;4100;1000;-30;50;10
2;turn;4100;1000;-30;50;10
2;turn;4100;1000;-30;50;10
2;turn;4100;1000;-30;50;10
2;turn;4100;1000;-30;50;10
2;turn;4100;1000;-30;50;10
2;turn;4100;1000;-30;50;10
2;elevation;4100;1000;100;20;10
2;elevation;4100;1000;100;20;10
2;elevation;4100;1000;100;20;10
2;elevation;4100;1000;100;20;10
2;elevation;4100;1000;100;20;10
2;elevation;4100;1000;100;20;10
2;elevation;4100;1000;100;20;10
2;driveBezier;4050;700;4075;850;16;0
2;driveBezier;3775;525;3900;625;16;0
2;driveBezier;3275;450;3500;475;16;0
2;driveBezier;3075;650;3175;550;16;0
2;driveBezier;2800;550;2925;600;16;0
2;driveBezier;2225;725;2500;650;16;0
2;driveBezier;1975;825;2100;775;16;0
2;driveBezier;1725;875;1850;850;16;0
2;driveBezier;1675;1200;1700;1050;16;0
2;driveBezier;1700;1625;1675;1425;16;0
2;driveBezier;1850;1775;1775;1700;16;0
2;driveBezier;2425;1775;2125;1775;16;0
2;driveBezier;2750;1750;2575;1775;16;0
2;driveBezier;3025;1550;2875;1650;16;0
2;driveBezier;3475;1600;3250;1575;16;0
2;driveBezier;3675;1750;3575;1675;16;0
2;driveBezier;4475;1725;4275;1675;16;0
2;driveBezier;4575;1600;4525;1675;16;0
2;driveBezier;4950;1575;4750;1600;16;0
2;driveBezier;5375;1600;5150;1600;16;0
2;driveBezier;5450;1425;5400;1525;16;0
2;driveBezier;5150;1100;5300;1275;16;0
2;driveBezier;5125;900;5125;1000;16;0
2;driveBezier;5075;825;5100;875;16;0
2;driveBezier;4900;725;4975;775;16;0

# *** ROBOT 5 ****
5;driveBezier;4825;875;4800;525;16;0
5;driveBezier;4800;1025;4800;950;16;0
5;turn;4800;1025;-30;62;10
5;turn;4800;1025;-30;62;10
5;turn;4800;1025;-30;62;10
5;turn;4800;1025;-30;62;10
5;turn;4800;1025;-30;62;10
5;turn;4800;1025;-30;62;10
5;turn;4800;1025;-30;62;10
5;turn;4800;1025;-30;62;10
5;turn;4800;1025;-30;62;10
5;elevation;4800;1025;100;20;10
5;elevation;4800;1025;100;20;10
5;elevation;4800;1025;100;20;10
5;elevation;4800;1025;100;20;10
5;elevation;4800;1025;100;20;10
5;elevation;4800;1025;100;20;10
5;elevation;4800;1025;100;20;10
5;elevation;4800;1025;100;20;10
5;driveBezier;4825;1200;4825;1125;16;0
5;driveBezier;4675;1225;4725;1225;16;0
5;driveBezier;4400;1225;4550;1250;16;0
5;driveBezier;4375;1100;4400;1150;16;0
5;driveBezier;4325;750;4350;925;16;0
5;driveBezier;4175;750;4250;750;16;0
5;driveBezier;4000;950;4075;850;16;0
5;driveBezier;3975;1025;3975;1000;16;0
5;driveBezier;3750;1025;3850;1025;16;0
5;driveBezier;3850;850;3800;950;16;0
5;driveBezier;3600;625;3725;750;16;0
5;driveBezier;2875;675;3225;650;16;0
5;driveBezier;2525;775;2700;725;16;0
5;driveBezier;2125;950;2325;875;16;0
5;driveBezier;2000;1200;2050;1075;16;0
5;driveBezier;2000;1450;2000;1325;16;0
5;driveBezier;2000;1600;2000;1525;16;0
5;driveBezier;2375;1575;2175;1600;16;0
5;driveBezier;2675;1575;2525;1575;16;0
5;driveBezier;3725;1550;3200;1575;16;0
5;driveBezier;5000;1525;4350;1550;16;0
5;driveBezier;5375;1475;5175;1500;16;0
5;driveBezier;5125;1175;5250;1325;16;0
5;driveBezier;4925;1000;5025;1100;16;0
5;driveBezier;5025;850;4975;925;16;0
5;driveBezier;4900;800;4950;825;16;0

# *** ROBOT 8 ****
8;driveBezier;4000;800;3950;475;16;0
8;driveBezier;3925;975;3950;900;16;0
8;turn;3925;975;-30;50;10
8;turn;3925;975;-30;50;10
8;turn;3925;975;-30;50;10
8;turn;3925;975;-30;50;10
8;turn;3925;975;-30;50;10
8;elevation;3925;975;100;20;10
8;elevation;3925;975;100;20;10
8;elevation;3925;975;100;20;10
8;elevation;3925;975;100;20;10
8;elevation;3925;975;100;20;10
8;driveBezier;3575;1025;3750;1025;16;0
8;turn;3575;1025;-30;50;10
8;turn;3575;1025;-30;50;10
8;turn;3575;1025;-30;50;10
8;turn;3575;1025;-30;50;10
8;turn;3575;1025;-30;50;10
8;driveBezier;3900;900;3725;975;16;0
8;driveBezier;3800;700;3850;800;16;0
8;driveBezier;3775;425;3775;525;16;0
8;driveBezier;3325;575;3550;550;16;0
8;driveBezier;3125;700;3225;650;16;0
8;driveBezier;2900;750;3000;725;16;0
8;driveBezier;2600;650;2750;700;16;0
8;driveBezier;2225;775;2400;725;16;0
8;driveBezier;2000;950;2100;875;16;0
8;driveBezier;1900;1175;1925;1075;16;0
8;driveBezier;2175;1500;2100;1350;16;0
8;driveBezier;3075;1450;2875;1550;16;0
8;driveBezier;4750;1475;3625;1500;16;0
